Date,ABT 05Y,ABBVINC 05Y,AGN 05Y
11-08-2016,0.00499756,0.00602213,0.00360659
12-08-2016,0.0049309,0.00603419,0.00361263
15-08-2016,0.00484998,0.00598595,0.00361147
16-08-2016,0.00485905,0.00601008,0.00361026
17-08-2016,0.00482723,0.00599802,0.00360764
18-08-2016,,0.00593769,0.0036078
19-08-2016,0.00490044,0.00598596,0.00362167
22-08-2016,0.00482502,0.00604628,0.00361254
23-08-2016,0.00466697,0.00599804,0.00360885
24-08-2016,0.00466381,0.0060463,0.00360809
25-08-2016,0.00468178,0.00602821,0.0036236
29-08-2016,0.00465347,0.00600408,0.00363272
30-08-2016,0.00463957,0.00601856,0.0036325
31-08-2016,0.00465427,0.00609094,0.00364835
01-09-2016,0.0046616,0.00613916,0.0036558
02-09-2016,0.00465984,0.00606681,0.00365753
05-09-2016,0.00469951,0.00606682,0.0036911
06-09-2016,0.00462837,0.0060451,0.00369293
07-09-2016,0.0046039,0.00604495,0.00369233
08-09-2016,0.00460031,0.00604495,0.00369073
12-09-2016,0.00462558,0.00604757,0.00368999
13-09-2016,0.00464803,0.00629564,0.00368877
14-09-2016,0.00462224,0.00631973,0.00369017
15-09-2016,0.00466087,0.00618123,0.00369019
16-09-2016,0.00456968,0.00624751,0.00368883
19-09-2016,0.00454928,0.00619931,0.00368842
20-09-2016,0.00484754,0.00726615,0.003886
21-09-2016,0.00485587,0.00726615,0.00396392
22-09-2016,0.00482415,0.00735558,0.00400058
23-09-2016,0.00482412,0.00708613,0.00402586
26-09-2016,0.00484908,0.00717556,0.00404726
27-09-2016,0.00481292,0.00716945,0.00405264
28-09-2016,0.00482227,0.0070699,0.00405328
29-09-2016,0.00485138,0.00720029,0.00405379
30-09-2016,0.00484888,0.00646337,0.00405216
03-10-2016,0.00482208,0.00647549,0.00405308
04-10-2016,0.00482713,0.00636362,0.00412146
05-10-2016,0.00484867,0.00631582,0.00418799
06-10-2016,0.00483512,0.00629192,0.00421824
07-10-2016,,0.00629192,0.00423883
10-10-2016,0.00481623,0.00629193,0.00424241
11-10-2016,0.00492178,0.00636368,0.00424323
12-10-2016,0.00485951,0.00635173,0.00424462
13-10-2016,0.00482666,0.00635173,0.00424487
14-10-2016,0.00485628,0.00635173,0.0042436
17-10-2016,0.00486804,0.00635489,0.00425586
18-10-2016,0.00486803,0.00632781,0.00404388
19-10-2016,0.00482926,0.00626799,0.00387913
20-10-2016,0.00486679,0.006268,0.00375354
